Column1,,Column2,,Column3,Column4,Column5
상품명,재질,색상,카테고리,품목코드,제품명,단가
1구,듀로플라스틱,매트화이트,,LS981WWM,프레임 1구,13960
2구,듀로플라스틱,매트화이트,,LS982WWM,프레임 2구,20080
3구,듀로플라스틱,매트화이트,,LS983WWM,프레임 3구,34480
4구,듀로플라스틱,매트화이트,,LS984WWM,프레임 4구,55130
5구,듀로플라스틱,매트화이트,,LS985WWM,프레임 5구,84380
1회로(3로겸용),듀로플라스틱,매트화이트,스위치류,506U,인서트 1회로 (단로/3로),11790
1회로(3로겸용),듀로플라스틱,매트화이트,스위치류,LS990WWM,커버 1회로 스위치,14840
1회로(일괄소등),듀로플라스틱,매트화이트,스위치류,506-20U,인서트 일괄소등 1회로 (단로/3로),26190
1회로(일괄소등),듀로플라스틱,매트화이트,스위치류,LS990WWM,커버 1회로 스위치,14840
2회로(단로전용),듀로플라스틱,매트화이트,스위치류,505U,인서트 2회로 (단로전용),18480
2회로(단로전용),듀로플라스틱,매트화이트,스위치류,LS995WWM,커버 2회로 스위치,19060
2회로(3로겸용),듀로플라스틱,매트화이트,스위치류,509U,인서트 2회로 (단로/3로),32880
2회로(3로겸용),듀로플라스틱,매트화이트,스위치류,LS995WWM,커버 2회로 스위치,19060
3회로(3로겸용),듀로플라스틱,매트화이트,스위치류,5306EU,인서트 단로 3회로 (3로겸용),42480
3회로(3로겸용),듀로플라스틱,매트화이트,스위치류,LS993BFWWM,커버 3회로 스위치,31570
로터리디밍,듀로플라스틱,매트화이트,스위치류,1731DD,인서트 로터리디밍 (LED100W),193490
로터리디밍,듀로플라스틱,매트화이트,스위치류,LS1740WWM,커버 로터리디밍,34210
콘센트,듀로플라스틱,매트화이트,콘센트류,LS1520KIWWM,콘센트220V (인서트+커버),27930
방우콘센트,듀로플라스틱,매트화이트,콘센트류,LS1520BFKIKLWWM,콘센트220V 방우형 (인서트+커버),38850
콘센트(USB-A),듀로플라스틱,매트화이트,콘센트류,LS1520-18AWWM,콘센트220V USB-A (인서트+커버),152320
콘센트(USB-C),듀로플라스틱,매트화이트,콘센트류,LS1520-18CWWM,콘센트220V USB-C (인서트+커버),152320
콘센트(USB-C/A),듀로플라스틱,매트화이트,콘센트류,LS1520-15CAWWM,콘센트220V USB-C/A (인서트+커버),152320
1회로(TEL/LAN),듀로플라스틱,매트화이트,기타류,UAE8UPOK6,인서트 1P TEL/LAN,36370
1회로(TEL/LAN),듀로플라스틱,매트화이트,기타류,LS969-1UAWWM,커버 1P TEL/LAN,17460
2회로(TEL/LAN),듀로플라스틱,매트화이트,기타류,UAE8-8UPOK6,인서트 2P TEL/LAN,48590
2회로(TEL/LAN),듀로플라스틱,매트화이트,기타류,LS969-2UAWWM,커버 2P TEL/LAN,19210
1구,듀로플라스틱,매트블랙,,LS981SWM,프레임 1구,13960
2구,듀로플라스틱,매트블랙,,LS982SWM,프레임 2구,20080
3구,듀로플라스틱,매트블랙,,LS983SWM,프레임 3구,34480
4구,듀로플라스틱,매트블랙,,LS984SWM,프레임 4구,55130
5구,듀로플라스틱,매트블랙,,LS985SWM,프레임 5구,84380
1회로(3로겸용),듀로플라스틱,매트블랙,스위치류,506U,인서트 1회로 (단로/3로),11790
1회로(3로겸용),듀로플라스틱,매트블랙,스위치류,LS990SWM,커버 1회로 스위치,14840
1회로(일괄소등),듀로플라스틱,매트블랙,스위치류,506-20U,인서트 일괄소등 1회로 (단로/3로),26190
1회로(일괄소등),듀로플라스틱,매트블랙,스위치류,LS990SWM,커버 1회로 스위치,14840
2회로(단로전용),듀로플라스틱,매트블랙,스위치류,505U,인서트 2회로 (단로전용),18480
2회로(단로전용),듀로플라스틱,매트블랙,스위치류,LS995SWM,커버 2회로 스위치,19060
2회로(3로겸용),듀로플라스틱,매트블랙,스위치류,509U,인서트 2회로 (단로/3로),32880
2회로(3로겸용),듀로플라스틱,매트블랙,스위치류,LS995SWM,커버 2회로 스위치,19060
3회로(3로겸용),듀로플라스틱,매트블랙,스위치류,5306EU,인서트 단로 3회로 (3로겸용),42480
3회로(3로겸용),듀로플라스틱,매트블랙,스위치류,LS993BFSWM,커버 3회로 스위치,31570
로터리디밍,듀로플라스틱,매트블랙,스위치류,1731DD,인서트 로터리디밍 (LED100W),193490
로터리디밍,듀로플라스틱,매트블랙,스위치류,LS1740SWM,커버 로터리디밍,34210
콘센트,듀로플라스틱,매트블랙,콘센트류,LS1520KISWM,콘센트220V (인서트+커버),27930
방우콘센트,듀로플라스틱,매트블랙,콘센트류,LS1520BFKIKLSWM,콘센트220V 방우형 (인서트+커버),38850
콘센트(USB-A),듀로플라스틱,매트블랙,콘센트류,LS1520-18ASWM,콘센트220V USB-A (인서트+커버),152320
콘센트(USB-C),듀로플라스틱,매트블랙,콘센트류,LS1520-18CSWM,콘센트220V USB-C (인서트+커버),152320
콘센트(USB-C/A),듀로플라스틱,매트블랙,콘센트류,LS1520-15CASWM,콘센트220V USB-C/A (인서트+커버),152320
1회로(TEL/LAN),듀로플라스틱,매트블랙,기타류,UAE8UPOK6,인서트 1P TEL/LAN,36370
1회로(TEL/LAN),듀로플라스틱,매트블랙,기타류,LS969-1UASWM,커버 1P TEL/LAN,17460
2회로(TEL/LAN),듀로플라스틱,매트블랙,기타류,UAE8-8UPOK6,인서트 2P TEL/LAN,48590
2회로(TEL/LAN),듀로플라스틱,매트블랙,기타류,LS969-2UASWM,커버 2P TEL/LAN,19210
1구,메탈,스테인레스스틸,,ES2981,프레임 1구,23560
2구,메탈,스테인레스스틸,,ES2982,프레임 2구,36370
3구,메탈,스테인레스스틸,,ES2983,프레임 3구,60380
4구,메탈,스테인레스스틸,,ES2984,프레임 4구,96600
5구,메탈,스테인레스스틸,,ES2985,프레임 5구,153330
1회로(3로겸용),메탈,스테인레스스틸,스위치류,506U,인서트 1회로 (단로/3로),11790
1회로(3로겸용),메탈,스테인레스스틸,스위치류,ES2990,커버 1회로 스위치,14840
1회로(일괄소등),메탈,스테인레스스틸,스위치류,506-20U,인서트 일괄소등 1회로 (단로/3로),26190
1회로(일괄소등),메탈,스테인레스스틸,스위치류,ES2990,커버 1회로 스위치,14840
2회로(단로전용),메탈,스테인레스스틸,스위치류,505U,인서트 2회로 (단로전용),18480
2회로(단로전용),메탈,스테인레스스틸,스위치류,ES2995,커버 2회로 스위치,19060
2회로(3로겸용),메탈,스테인레스스틸,스위치류,509U,인서트 2회로 (단로/3로),32880
2회로(3로겸용),메탈,스테인레스스틸,스위치류,ES2995,커버 2회로 스위치,19060
3회로(3로겸용),메탈,스테인레스스틸,스위치류,5306EU,인서트 단로 3회로 (3로겸용),42480
3회로(3로겸용),메탈,스테인레스스틸,스위치류,ES993,커버 3회로 스위치,31570
로터리디밍,메탈,스테인레스스틸,스위치류,1731DD,인서트 로터리디밍 (LED100W),193490
로터리디밍,메탈,스테인레스스틸,스위치류,ES1740,커버 로터리디밍,34210
콘센트,메탈,스테인레스스틸,콘센트류,ES1520KI,콘센트220V (인서트+커버),27930
방우콘센트,메탈,스테인레스스틸,콘센트류,ES1520KIKL,콘센트220V 방우형 (인서트+커버),38850
콘센트(USB-A),메탈,스테인레스스틸,콘센트류,ES1520-18A-L,콘센트220V USB-A (인서트+커버),152320
콘센트(USB-C),메탈,스테인레스스틸,콘센트류,ES1520-18C-L,콘센트220V USB-C (인서트+커버),152320
콘센트(USB-C/A),메탈,스테인레스스틸,콘센트류,ES1520-15CA-L,콘센트220V USB-C/A (인서트+커버),152320
1회로(TEL/LAN),메탈,스테인레스스틸,기타류,UAE8UPOK6,인서트 1P TEL/LAN,36370
1회로(TEL/LAN),메탈,스테인레스스틸,기타류,ES2969-1UA,커버 1P TEL/LAN,17460
2회로(TEL/LAN),메탈,스테인레스스틸,기타류,UAE8-8UPOK6,인서트 2P TEL/LAN,48590
2회로(TEL/LAN),메탈,스테인레스스틸,기타류,ES2969-2UA,커버 2P TEL/LAN,19210
1구,메탈,알루미늄,,AL2981,프레임 1구,23560
2구,메탈,알루미늄,,AL2982,프레임 2구,36370
3구,메탈,알루미늄,,AL2983,프레임 3구,60380
4구,메탈,알루미늄,,AL2984,프레임 4구,96600
5구,메탈,알루미늄,,AL2985,프레임 5구,153330
1회로(3로겸용),메탈,알루미늄,스위치류,506U,인서트 1회로 (단로/3로),11790
1회로(3로겸용),메탈,알루미늄,스위치류,AL2990,커버 1회로 스위치,17610
1회로(일괄소등),메탈,알루미늄,스위치류,506-20U,인서트 일괄소등 1회로 (단로/3로),26190
1회로(일괄소등),메탈,알루미늄,스위치류,AL2990,커버 1회로 스위치,17610
2회로(단로전용),메탈,알루미늄,스위치류,505U,인서트 2회로 (단로전용),18480
2회로(단로전용),메탈,알루미늄,스위치류,AL2995,커버 2회로 스위치,21970
2회로(3로겸용),메탈,알루미늄,스위치류,509U,인서트 2회로 (단로/3로),32880
2회로(3로겸용),메탈,알루미늄,스위치류,AL2995,커버 2회로 스위치,21970
3회로(3로겸용),메탈,알루미늄,스위치류,5306EU,인서트 단로 3회로 (3로겸용),42480
3회로(3로겸용),메탈,알루미늄,스위치류,AL993,커버 3회로 스위치,32880
로터리디밍,메탈,알루미늄,스위치류,1731DD,인서트 로터리디밍 (LED100W),193490
로터리디밍,메탈,알루미늄,스위치류,AL1740,커버 로터리디밍,50530
콘센트,메탈,알루미늄,콘센트류,AL1520KI,콘센트220V (인서트+커버),31860
방우콘센트,메탈,알루미늄,콘센트류,AL1520KIKL,콘센트220V 방우형 (인서트+커버),40300
콘센트(USB-A),메탈,알루미늄,콘센트류,AL1520-18A,콘센트220V USB-A (인서트+커버),199470
콘센트(USB-C),메탈,알루미늄,콘센트류,AL1520-18C,콘센트220V USB-C (인서트+커버),199470
콘센트(USB-C/A),메탈,알루미늄,콘센트류,AL1520-15CA,콘센트220V USB-C/A (인서트+커버),199470
